mass,epsilon,llp_rate,LLPModel_unique_id
0.107,0.00011568187152769571,6.279533111832783e-06,DLS_0.107_0.00011568187152769571_4.0276820547169805e-11
0.107,0.0001344532884299761,6.253239420873563e-06,DLS_0.107_0.0001344532884299761_2.9815557554987534e-11
0.107,0.0001562706976546995,5.956019837641755e-06,DLS_0.107_0.0001562706976546995_2.20714410978312e-11
0.107,0.00018162836499313161,5.427427316780416e-06,DLS_0.107_0.00018162836499313161_1.6338735616015414e-11
0.107,0.00021110075954848217,4.732883809565262e-06,DLS_0.107_0.00021110075954848217_1.209500912726001e-11
0.107,0.0002453555681329358,3.948784956537433e-06,DLS_0.107_0.0002453555681329358_8.95352304036971e-12
0.107,0.00028516882147934725,3.1504559677037783e-06,DLS_0.107_0.00028516882147934725_6.627987956929462e-12
0.107,0.0003314424749466425,2.402592303673238e-06,DLS_0.107_0.0003314424749466425_4.9064735924762865e-12
0.107,0.00038522484200367494,1.7512022490460086e-06,DLS_0.107_0.00038522484200367494_3.6320951803327743e-12
0.107,0.0004477343434049799,1.2199336497520348e-06,DLS_0.107_0.0004477343434049799_2.6887162746021226e-12
0.107,0.000520387110087713,8.122970427824569e-07,DLS_0.107_0.000520387110087713_1.9903650224959115e-12
0.107,0.0006048290651237758,5.172507124469619e-07,DLS_0.107_0.0006048290651237758_1.473399391448018e-12
0.107,0.0007029732115325475,3.1608541123115995e-07,DLS_0.107_0.0007029732115325475_1.0907073537682433e-12
0.107,0.0008170429706966103,1.8808116711349413e-07,DLS_0.107_0.0008170429706966103_8.074134810080088e-13
0.107,0.0009496225531971555,1.1219986330106774e-07,DLS_0.107_0.0009496225531971555_5.977006820951455e-13
0.107,0.001103715503202757,6.876881431435469e-08,DLS_0.107_0.001103715503202757_4.424574443951582e-13
0.107,0.001282812742714211,4.381399971002011e-08,DLS_0.107_0.001282812742714211_3.2753616645451806e-13
0.107,0.0014909716571840646,3.0045804843313586e-08,DLS_0.107_0.0014909716571840646_2.4246386108922586e-13
0.107,0.0017329080141679255,2.3035903424971422e-08,DLS_0.107_0.0017329080141679255_1.7948773282250347e-13
0.107,0.002014102797392545,1.8687824954885035e-08,DLS_0.107_0.002014102797392545_1.3286865139010165e-13
0.107,0.002340926376529169,1.4177622388213024e-08,DLS_0.107_0.002340926376529169_9.835813425579647e-14
0.107,0.0027207828256950433,9.042015515353254e-09,DLS_0.107_0.0027207828256950433_7.281117459285067e-14
0.107,0.0031622776601683794,4.437578828613726e-09,DLS_0.107_0.0031622776601683794_5.3899631034106925e-14
0.107,1.903670748843425e-05,3.4226289418737206e-07,DLS_0.107_1.903670748843425e-05_1.4873121261943998e-09
0.107,2.2125747871279427e-05,5.17415513349504e-07,DLS_0.107_2.2125747871279427e-05_1.1010064771335619e-09
0.107,2.571603934981148e-05,7.623250153870206e-07,DLS_0.107_2.571603934981148e-05_8.150375710253665e-10
0.107,2.9888918724391657e-05,1.0927564126441116e-06,DLS_0.107_2.9888918724391657e-05_6.033445360942644e-10
0.107,3.473892112083112e-05,1.5216843977607957e-06,DLS_0.107_3.473892112083112e-05_4.466353971594686e-10
0.107,4.03759216506716e-05,2.0555739571832087e-06,DLS_0.107_4.03759216506716e-05_3.306289624948702e-10
0.107,4.692762459348831e-05,2.689948626373909e-06,DLS_0.107_4.692762459348831e-05_2.447533525906472e-10
0.107,5.454245649277327e-05,3.4048909164425106e-06,DLS_0.107_5.454245649277327e-05_1.81182565351608e-10
0.107,6.339292870747295e-05,4.161616301667373e-06,DLS_0.107_6.339292870747295e-05_1.3412327814889465e-10
0.107,7.367954559661629e-05,4.9017958434310064e-06,DLS_0.107_7.367954559661629e-05_9.92868916857187e-11
0.107,8.563534687558788e-05,5.551746678395417e-06,DLS_0.107_8.563534687558788e-05_7.349870206473833e-11
0.107,9.95311870495445e-05,6.033165859274344e-06,DLS_0.107_9.95311870495445e-05_5.4408584189550124e-11
0.108,0.00011568187152769571,1.0591488037548883e-06,DLS_0.108_0.00011568187152769571_1.2756081167387102e-11
0.108,0.0001344532884299761,8.900937206993417e-07,DLS_0.108_0.0001344532884299761_9.442892141322408e-12
0.108,0.0001562706976546995,7.152849742661571e-07,DLS_0.108_0.0001562706976546995_6.990251223912012e-12
0.108,0.00018162836499313161,5.494097660953854e-07,DLS_0.108_0.00018162836499313161_5.174644742533342e-12
0.108,0.00021110075954848217,4.0330122687146214e-07,DLS_0.108_0.00021110075954848217_3.830613143034148e-12
0.108,0.0002453555681329358,2.829267773640153e-07,DLS_0.108_0.0002453555681329358_2.835672356592012e-12
0.108,0.00028516882147934725,1.8969570943883894e-07,DLS_0.108_0.00028516882147934725_2.0991516015033964e-12
0.108,0.0003314424749466425,1.216072748617834e-07,DLS_0.108_0.0003314424749466425_1.553930388273084e-12
0.108,0.00038522484200367494,7.473894456150128e-08,DLS_0.108_0.00038522484200367494_1.150321706097429e-12
0.108,0.0004477343434049799,4.4584512578633434e-08,DLS_0.108_0.0004477343434049799_8.515439542883526e-13
0.108,0.000520387110087713,2.653987782662765e-08,DLS_0.108_0.000520387110087713_6.30368967430081e-13
0.108,0.0006048290651237758,1.6192444366899918e-08,DLS_0.108_0.0006048290651237758_4.666406626431281e-13
0.108,0.0007029732115325475,1.0246876292336833e-08,DLS_0.108_0.0007029732115325475_3.454381787221624e-13
0.108,0.0008170429706966103,6.9289769242667135e-09,DLS_0.108_0.0008170429706966103_2.5571611064281117e-13
0.108,0.0009496225531971555,5.229961702024272e-09,DLS_0.108_0.0009496225531971555_1.8929792150994551e-13
0.108,0.001103715503202757,4.239000513626481e-09,DLS_0.108_0.001103715503202757_1.4013079972907398e-13
0.108,0.001282812742714211,3.271810579062564e-09,DLS_0.108_0.001282812742714211_1.0373405516593669e-13
0.108,0.0014909716571840646,2.1522310888664096e-09,DLS_0.108_0.0014909716571840646_7.679078562296222e-14
0.108,0.0017329080141679255,1.1036687354734455e-09,DLS_0.108_0.0017329080141679255_5.684560144842487e-14
0.108,0.002014102797392545,4.010007106676036e-10,DLS_0.108_0.002014102797392545_4.208086136661288e-14
0.108,0.002340926376529169,9.144239408082584e-11,DLS_0.108_0.002340926376529169_3.115102748913136e-14
0.108,0.0027207828256950433,1.1136118118327535e-11,DLS_0.108_0.0027207828256950433_2.306004397520551e-14
0.108,0.0031622776601683794,5.82713496554567e-13,DLS_0.108_0.0031622776601683794_1.7070564633026816e-14
0.108,1.903670748843425e-05,3.13435229374153e-07,DLS_0.108_1.903670748843425e-05_4.710469680881503e-10
0.108,2.2125747871279427e-05,4.258952306581239e-07,DLS_0.108_2.2125747871279427e-05_3.4870001646943643e-10
0.108,2.571603934981148e-05,5.607013230689297e-07,DLS_0.108_2.571603934981148e-05_2.5813073795866353e-10
0.108,2.9888918724391657e-05,7.141544745285586e-07,DLS_0.108_2.9888918724391657e-05_1.910853878176529e-10
0.108,3.473892112083112e-05,8.78526053885089e-07,DLS_0.108_3.473892112083112e-05_1.4145400011706477e-10
0.108,4.03759216506716e-05,1.0417732234252083e-06,DLS_0.108_4.03759216506716e-05_1.0471357531645851e-10
0.108,4.692762459348831e-05,1.1882408275515403e-06,DLS_0.108_4.692762459348831e-05_7.751589100683854e-11
0.108,5.454245649277327e-05,1.300760856089358e-06,DLS_0.108_5.454245649277327e-05_5.73823722513999e-11
0.108,6.339292870747295e-05,1.364083316887216e-06,DLS_0.108_6.339292870747295e-05_4.2478214498079556e-11
0.108,7.367954559661629e-05,1.368700449298579e-06,DLS_0.108_7.367954559661629e-05_3.144517446994945e-11
0.108,8.563534687558788e-05,1.3134761016375213e-06,DLS_0.108_8.563534687558788e-05_2.327779096012296e-11
0.108,9.95311870495445e-05,1.2057743840856626e-06,DLS_0.108_9.95311870495445e-05_1.7231755304808566e-11
0.109,0.00011568187152769571,2.472929872724153e-07,DLS_0.109_0.00011568187152769571_6.2988773685361934e-12
0.109,0.0001344532884299761,1.8681843908446976e-07,DLS_0.109_0.0001344532884299761_4.662844240484519e-12
0.109,0.0001562706976546995,1.34868322075855e-07,DLS_0.109_0.0001562706976546995_3.4517446743168428e-12
0.109,0.00018162836499313161,9.304364550711744e-08,DLS_0.109_0.00018162836499313161_2.5552089416215726e-12
0.109,0.00021110075954848217,6.134999395423715e-08,DLS_0.109_0.00021110075954848217_1.891534094025954e-12
0.109,0.0002453555681329358,3.8694987648311165e-08,DLS_0.109_0.0002453555681329358_1.400238223411979e-12
0.109,0.00028516882147934725,2.3466566683449572e-08,DLS_0.109_0.00028516882147934725_1.0365486345164616e-12
0.109,0.0003314424749466425,1.3936568108072054e-08,DLS_0.109_0.0003314424749466425_7.673216269584871e-13
0.109,0.00038522484200367494,8.356367812059744e-09,DLS_0.109_0.00038522484200367494_5.680220489344239e-13
0.109,0.0004477343434049799,5.162938439671003e-09,DLS_0.109_0.0004477343434049799_4.204873637598069e-13
0.109,0.000520387110087713,3.3313994703593134e-09,DLS_0.109_0.000520387110087713_3.112724645343559e-13
0.109,0.0006048290651237758,2.34144332685658e-09,DLS_0.109_0.0006048290651237758_2.304243968497425e-13
0.109,0.0007029732115325475,1.835535331406483e-09,DLS_0.109_0.0007029732115325475_1.705753277694991e-13
0.109,0.0008170429706966103,1.482736270402283e-09,DLS_0.109_0.0008170429706966103_1.2627110167785442e-13
0.109,0.0009496225531971555,1.0897304253453519e-09,DLS_0.109_0.0009496225531971555_9.347419305847637e-14
0.109,0.001103715503202757,6.593367863551405e-10,DLS_0.109_0.001103715503202757_6.919575937671328e-14
0.109,0.001282812742714211,3.005973304179279e-10,DLS_0.109_0.001282812742714211_5.122326236851978e-14
0.109,0.0014909716571840646,9.311548803893726e-11,DLS_0.109_0.0014909716571840646_3.7918835363734934e-14
0.109,0.0017329080141679255,1.7128644443955133e-11,DLS_0.109_0.0017329080141679255_2.8070021487457796e-14
0.109,0.002014102797392545,1.5619855986332496e-12,DLS_0.109_0.002014102797392545_2.0779280237596752e-14
0.109,0.002340926376529169,5.535718924584309e-14,DLS_0.109_0.002340926376529169_1.5382192970016236e-14
0.109,0.0027207828256950433,5.49294988902299e-16,DLS_0.109_0.0027207828256950433_1.1386913206873569e-14
0.109,0.0031622776601683794,9.816923152538176e-19,DLS_0.109_0.0031622776601683794_8.429343763507268e-15
0.109,1.903670748843425e-05,2.3181238847965812e-07,DLS_0.109_1.903670748843425e-05_2.3260020439457592e-10
0.109,2.2125747871279427e-05,2.9176783722335085e-07,DLS_0.109_2.2125747871279427e-05_1.7218600394006712e-10
0.109,2.571603934981148e-05,3.544297233961945e-07,DLS_0.109_2.571603934981148e-05_1.2746343035260109e-10
0.109,2.9888918724391657e-05,4.146942424158573e-07,DLS_0.109_2.9888918724391657e-05_9.435683333999359e-11
0.109,3.473892112083112e-05,4.6630557576072684e-07,DLS_0.109_3.473892112083112e-05_6.984914789538018e-11
0.109,4.03759216506716e-05,5.028511169886876e-07,DLS_0.109_4.03759216506716e-05_5.1706943620401545e-11
0.109,4.692762459348831e-05,5.191736310155568e-07,DLS_0.109_4.692762459348831e-05_3.827688810990117e-11
0.109,5.454245649277327e-05,5.127301302895866e-07,DLS_0.109_5.454245649277327e-05_2.8335075732455433e-11
0.109,6.339292870747295e-05,4.842846180207577e-07,DLS_0.109_6.339292870747295e-05_2.0975490861711577e-11
0.109,7.367954559661629e-05,4.3759013378704475e-07,DLS_0.109_7.367954559661629e-05_1.5527441007888185e-11
0.109,8.563534687558788e-05,3.7831196864900696e-07,DLS_0.109_8.563534687558788e-05_1.1494435379033318e-11
0.109,9.95311870495445e-05,3.1283081062174045e-07,DLS_0.109_9.95311870495445e-05_8.508938763035886e-12
0.111,0.00011568187152769571,2.4907045230779093e-08,DLS_0.111_0.00011568187152769571_2.536669962147979e-12
0.111,0.0001344532884299761,1.6369088203289787e-08,DLS_0.111_0.0001344532884299761_1.8778103193586285e-12
0.111,0.0001562706976546995,1.0291463689120886e-08,DLS_0.111_0.0001562706976546995_1.3900789807531368e-12
0.111,0.00018162836499313161,6.226653250796244e-09,DLS_0.111_0.00018162836499313161_1.0290280934187594e-12
0.111,0.00021110075954848217,3.6976916829223802e-09,DLS_0.111_0.00021110075954848217_7.61754426695481e-13
0.111,0.0002453555681329358,2.2222954748803916e-09,DLS_0.111_0.0002453555681329358_5.639008403184804e-13
0.111,0.00028516882147934725,1.3773922896251937e-09,DLS_0.111_0.00028516882147934725_4.1743657347856235e-13
0.111,0.0003314424749466425,8.935261705511157e-10,DLS_0.111_0.0003314424749466425_3.090140684647822e-13
0.111,0.00038522484200367494,6.340786912603101e-10,DLS_0.111_0.00038522484200367494_2.287525832090539e-13
0.111,1.903670748843425e-05,1.1439379694280917e-07,DLS_0.111_1.903670748843425e-05_9.367223985411849e-11
0.111,2.2125747871279427e-05,1.2839492655666053e-07,DLS_0.111_2.2125747871279427e-05_6.934236666978731e-11
0.111,2.571603934981148e-05,1.381814133160591e-07,DLS_0.111_2.571603934981148e-05_5.133179075098011e-11
0.111,2.9888918724391657e-05,1.4236473318672736e-07,DLS_0.111_2.9888918724391657e-05_3.7999175226455957e-11
0.111,3.473892112083112e-05,1.4028896120753221e-07,DLS_0.111_3.473892112083112e-05_2.81294943497239e-11
0.111,4.03759216506716e-05,1.3220712554394186e-07,DLS_0.111_4.03759216506716e-05_2.082330597060551e-11
0.111,4.692762459348831e-05,1.1918069798351886e-07,DLS_0.111_4.692762459348831e-05_1.5414783719697924e-11
0.111,5.454245649277327e-05,1.0278081347223795e-07,DLS_0.111_5.454245649277327e-05_1.1411039028119924e-11
0.111,6.339292870747295e-05,8.476468268541376e-08,DLS_0.111_6.339292870747295e-05_8.447203286730798e-12
0.111,7.367954559661629e-05,6.681650778227915e-08,DLS_0.111_7.367954559661629e-05_6.25317669946766e-12
0.111,8.563534687558788e-05,5.0326522397014465e-08,DLS_0.111_8.563534687558788e-05_4.629013592722288e-12
0.111,9.95311870495445e-05,3.6219260737441474e-08,DLS_0.111_9.95311870495445e-05_3.4267009987790476e-12
0.112,0.00011568187152769571,9.688036005826262e-09,DLS_0.112_0.00011568187152769571_1.829351882822401e-12
0.112,0.0001344532884299761,6.062065036579703e-09,DLS_0.112_0.0001344532884299761_1.3542068517235222e-12
0.112,0.0001562706976546995,3.655465770441292e-09,DLS_0.112_0.0001562706976546995_1.002473178875546e-12
0.112,0.00018162836499313161,2.1707547649354607e-09,DLS_0.112_0.00018162836499313161_7.420967284915318e-13
0.112,0.00021110075954848217,1.3087315630314546e-09,DLS_0.112_0.00021110075954848217_5.49348916302729e-13
0.112,0.0002453555681329358,8.146400922893727e-10,DLS_0.112_0.0002453555681329358_4.066642800816863e-13
0.112,0.00028516882147934725,5.325948052130348e-10,DLS_0.112_0.00028516882147934725_3.0103970679942633e-13
0.112,0.0003314424749466425,3.8305912003605626e-10,DLS_0.112_0.0003314424749466425_2.2284943504671923e-13
0.112,0.00038522484200367494,3.0503913414960874e-10,DLS_0.112_0.00038522484200367494_1.6496784171308722e-13
0.112,1.903670748843425e-05,8.040837069669754e-08,DLS_0.112_1.903670748843425e-05_6.755292998393096e-11
0.112,2.2125747871279427e-05,8.61645476048509e-08,DLS_0.112_2.2125747871279427e-05_5.000713175919915e-11
0.112,2.571603934981148e-05,8.83780911190803e-08,DLS_0.112_2.571603934981148e-05_3.701857532125931e-11
0.112,2.9888918724391657e-05,8.669656915461358e-08,DLS_0.112_2.9888918724391657e-05_2.7403589660262e-11
0.112,3.473892112083112e-05,8.133289261609321e-08,DLS_0.112_3.473892112083112e-05_2.0285943468946874e-11
0.112,4.03759216506716e-05,7.298668085912248e-08,DLS_0.112_4.03759216506716e-05_1.501699257386166e-11
0.112,4.692762459348831e-05,6.265322371317428e-08,DLS_0.112_4.692762459348831e-05_1.1116567800192398e-11
0.112,5.454245649277327e-05,5.142645538107867e-08,DLS_0.112_5.454245649277327e-05_8.229216272729033e-12
0.112,6.339292870747295e-05,4.0341131599921126e-08,DLS_0.112_6.339292870747295e-05_6.091808342335354e-12
0.112,7.367954559661629e-05,3.0235977411490806e-08,DLS_0.112_7.367954559661629e-05_4.509558097619407e-12
0.112,8.563534687558788e-05,2.165242126828309e-08,DLS_0.112_8.563534687558788e-05_3.338272166981654e-12
0.112,9.95311870495445e-05,1.481531964156933e-08,DLS_0.112_9.95311870495445e-05_2.4712091117591614e-12
0.113,0.00011568187152769571,4.150770578435971e-09,DLS_0.113_0.00011568187152769571_1.3878491309422253e-12
0.113,0.0001344532884299761,2.5072457715693667e-09,DLS_0.113_0.0001344532884299761_1.0273774116004552e-12
0.113,0.0001562706976546995,1.4891702057946355e-09,DLS_0.113_0.0001562706976546995_7.605324832031707e-13
0.113,0.00018162836499313161,8.966971369810328e-10,DLS_0.113_0.00018162836499313161_5.629962771968396e-13
0.113,0.00021110075954848217,5.571719005770565e-10,DLS_0.113_0.00021110075954848217_4.1676695622851533e-13
0.113,0.0002453555681329358,3.630188194997712e-10,DLS_0.113_0.0002453555681329358_3.0851837363615987e-13
0.113,0.00028516882147934725,2.5955414056253217e-10,DLS_0.113_0.00028516882147934725_2.283856372214679e-13
0.113,0.0003314424749466425,2.0594966496888284e-10,DLS_0.113_0.0003314424749466425_1.6906610350075616e-13
0.113,0.00038522484200367494,1.652932099032073e-10,DLS_0.113_0.00038522484200367494_1.2515387438839174e-13
0.113,1.903670748843425e-05,5.7060628733531734e-08,DLS_0.113_1.903670748843425e-05_5.124944853482922e-11
0.113,2.2125747871279427e-05,5.8700099626523475e-08,DLS_0.113_2.2125747871279427e-05_3.793822009018901e-11
0.113,2.571603934981148e-05,5.775496036748732e-08,DLS_0.113_2.571603934981148e-05_2.8084371339790407e-11
0.113,2.9888918724391657e-05,5.4341772092260964e-08,DLS_0.113_2.9888918724391657e-05_2.0789902944213514e-11
0.113,3.473892112083112e-05,4.890693432591726e-08,DLS_0.113_3.473892112083112e-05_1.5390056597686455e-11
0.113,4.03759216506716e-05,4.2102971319200386e-08,DLS_0.113_4.03759216506716e-05_1.139273438243324e-11
0.113,4.692762459348831e-05,3.465669299935423e-08,DLS_0.113_4.692762459348831e-05_8.4336529813795e-12
0.113,5.454245649277327e-05,2.7262487376992702e-08,DLS_0.113_5.454245649277327e-05_6.243145870231344e-12
0.113,6.339292870747295e-05,2.048978188759075e-08,DLS_0.113_6.339292870747295e-05_4.621588111704755e-12
0.113,7.367954559661629e-05,1.471273633029108e-08,DLS_0.113_7.367954559661629e-05_3.4212041682535993e-12
0.113,8.563534687558788e-05,1.0093671393167924e-08,DLS_0.113_8.563534687558788e-05_2.5326008458504396e-12
0.113,9.95311870495445e-05,6.617543258115092e-09,DLS_0.113_9.95311870495445e-05_1.8747980912453152e-12
0.114,0.00011568187152769571,1.929821523741967e-09,DLS_0.114_0.00011568187152769571_1.0931867271460244e-12
0.114,0.0001344532884299761,1.1472686889157733e-09,DLS_0.114_0.0001344532884299761_8.09248876618715e-13
0.114,0.0001562706976546995,6.879504764767669e-10,DLS_0.114_0.0001562706976546995_5.990593629126418e-13
0.114,0.00018162836499313161,4.2487489969793795e-10,DLS_0.114_0.00018162836499313161_4.4346322949841593e-13
0.114,0.00021110075954848217,2.7382977080785626e-10,DLS_0.114_0.00021110075954848217_3.282807148877535e-13
0.114,0.0002453555681329358,1.9194476766355656e-10,DLS_0.114_0.0002453555681329358_2.430150249189932e-13
0.114,0.00028516882147934725,1.5014189447284542e-10,DLS_0.114_0.00028516882147934725_1.7989574062116786e-13
0.114,0.0003314424749466425,1.2140402440727337e-10,DLS_0.114_0.0003314424749466425_1.3317068565791865e-13
0.114,0.00038522484200367494,8.95944412620655e-11,DLS_0.114_0.00038522484200367494_9.858171993046855e-14
0.114,1.903670748843425e-05,4.096489378342607e-08,DLS_0.114_1.903670748843425e-05_4.0368376981864355e-11
0.114,2.2125747871279427e-05,4.0650737410583905e-08,DLS_0.114_2.2125747871279427e-05_2.9883333663207646e-11
0.114,2.571603934981148e-05,3.8574911077563185e-08,DLS_0.114_2.571603934981148e-05_2.2121613440832392e-11
0.114,2.9888918724391657e-05,3.501090272767187e-08,DLS_0.114_2.9888918724391657e-05_1.6375876491588465e-11
0.114,3.473892112083112e-05,3.039489020314972e-08,DLS_0.114_3.473892112083112e-05_1.2122503251628518e-11
0.114,4.03759216506716e-05,2.523186598535858e-08,DLS_0.114_4.03759216506716e-05_8.973876003597574e-12
0.114,4.692762459348831e-05,2.0017733071891073e-08,DLS_0.114_4.692762459348831e-05_6.64305456194674e-12
0.114,5.454245649277327e-05,1.5172649213851014e-08,DLS_0.114_5.454245649277327e-05_4.917626886677452e-12
0.114,6.339292870747295e-05,1.0986778273350588e-08,DLS_0.114_6.339292870747295e-05_3.640351583908451e-12
0.114,7.367954559661629e-05,7.600700810856223e-09,DLS_0.114_7.367954559661629e-05_2.694828208778251e-12
0.114,8.563534687558788e-05,5.024385417457499e-09,DLS_0.114_8.563534687558788e-05_1.994889479062368e-12
0.114,9.95311870495445e-05,3.176255341020138e-09,DLS_0.114_9.95311870495445e-05_1.4767486924437168e-12
0.115,0.00011568187152769571,9.671951286504852e-10,DLS_0.115_0.00011568187152769571_8.863635914891935e-13
0.115,0.0001344532884299761,5.769986146430089e-10,DLS_0.115_0.0001344532884299761_6.56144758142994e-13
0.115,0.0001562706976546995,3.5318246553092886e-10,DLS_0.115_0.0001562706976546995_4.85721602029248e-13
0.115,0.00018162836499313161,2.2442546229341882e-10,DLS_0.115_0.00018162836499313161_3.5956314784190334e-13
0.115,0.00021110075954848217,1.5293511214689907e-10,DLS_0.115_0.00021110075954848217_2.6617234388145064e-13
0.115,0.0002453555681329358,1.1643936979196937e-10,DLS_0.115_0.0002453555681329358_1.9703831461197595e-13
0.115,0.00028516882147934725,9.447252126199646e-11,DLS_0.115_0.00028516882147934725_1.4586074893798771e-13
0.115,0.0003314424749466425,7.22951563313571e-11,DLS_0.115_0.0003314424749466425_1.079757412798007e-13
0.115,0.00038522484200367494,4.681235809225711e-11,DLS_0.115_0.00038522484200367494_7.993076128985975e-14
0.115,1.903670748843425e-05,2.9776728169487992e-08,DLS_0.115_1.903670748843425e-05_3.273096783533803e-11
