mass,epsilon,llp_rate,LLPModel_unique_id
0.107,0.0001154781984689,3.5262485442421865e-05,DLS_0.107_0.00011547819846894582_4.041902119763272e-11
0.107,0.0001333521432163,3.451996322785554e-05,DLS_0.107_0.0001333521432163324_3.030998994299056e-11
0.107,0.0001539926526059,3.2266977213798446e-05,DLS_0.107_0.0001539926526059492_2.2729285943173594e-11
0.107,0.0001778279410038,2.875307190170952e-05,DLS_0.107_0.00017782794100389227_1.7044559911047465e-11
0.107,0.0001,3.4459376444803914e-05,DLS_0.107_0.0001_5.3899631034106934e-11
0.107,0.0002053525026457,2.439156513018236e-05,DLS_0.107_0.0002053525026457146_1.2781616777914612e-11
0.107,0.0002371373705661,1.9671100529697744e-05,DLS_0.107_0.00023713737056616554_9.584860407664729e-12
0.107,0.0002738419634264,1.5059972761504109e-05,DLS_0.107_0.0002738419634264361_7.187631316967702e-12
0.107,0.0003162277660168,1.0929986777706648e-05,DLS_0.107_0.00031622776601683794_5.389963103410694e-12
0.107,0.0003651741272548,7.514401850275714e-06,DLS_0.107_0.0003651741272548377_4.041902119763271e-12
0.107,0.0004216965034285,4.900778495145075e-06,DLS_0.107_0.00042169650342858224_3.030998994299056e-12
0.107,0.0004869675251658,3.049486625549509e-06,DLS_0.107_0.0004869675251658631_2.2729285943173594e-12
0.107,0.0005623413251903,1.8298620882988976e-06,DLS_0.107_0.0005623413251903491_1.7044559911047462e-12
0.107,0.0006493816315762,1.0715983406218297e-06,DLS_0.107_0.0006493816315762113_1.278161677791461e-12
0.107,0.0007498942093324,6.187818743318692e-07,DLS_0.107_0.0007498942093324559_9.584860407664729e-13
0.107,0.00086596432336,3.586750457827759e-07,DLS_0.107_0.0008659643233600654_7.187631316967703e-13
0.107,0.0011547819846894,1.3770044697098568e-07,DLS_0.107_0.0011547819846894581_4.0419021197632716e-13
0.107,0.0013335214321633,8.88793506182418e-08,DLS_0.107_0.001333521432163324_3.030998994299056e-13
0.107,0.0015399265260594,5.3036832880571375e-08,DLS_0.107_0.001539926526059492_2.2729285943173593e-13
0.107,0.0017782794100389,2.6678856309169865e-08,DLS_0.107_0.0017782794100389228_1.7044559911047467e-13
0.107,0.001,2.1599081574966893e-07,DLS_0.107_0.001_5.389963103410694e-13
0.107,0.0020535250264571,1.0379164362950338e-08,DLS_0.107_0.002053525026457146_1.278161677791461e-13
0.107,0.0023713737056616,2.840912515842825e-09,DLS_0.107_0.0023713737056616554_9.584860407664728e-14
0.107,0.0027384196342643,4.85087666189042e-10,DLS_0.107_0.0027384196342643613_7.187631316967703e-14
0.107,0.0031622776601683,4.4033357950947875e-11,DLS_0.107_0.0031622776601683794_5.3899631034106925e-14
0.108,0.0001154781984689,5.306320233936717e-06,DLS_0.108_0.00011547819846894582_1.280111756834223e-11
0.108,0.0001333521432163,4.276581459237992e-06,DLS_0.108_0.0001333521432163324_9.599483937483808e-12
0.108,0.0001539926526059,3.271551702099741e-06,DLS_0.108_0.0001539926526059492_7.198597417299029e-12
0.108,0.0001778279410038,2.3722628856008823e-06,DLS_0.108_0.00017782794100389227_5.3981865185481145e-12
0.108,0.0001,6.258519748214008e-06,DLS_0.108_0.0001_1.7070564633026816e-11
0.108,0.0002053525026457,1.6293774160304293e-06,DLS_0.108_0.0002053525026457146_4.048068811155761e-12
0.108,0.0002371373705661,1.061670929368792e-06,DLS_0.108_0.00023713737056616554_3.035623360465023e-12
0.108,0.0002738419634264,6.601267753404279e-07,DLS_0.108_0.0002738419634264361_2.2763963797270514e-12
0.108,0.0003162277660168,3.959291146043935e-07,DLS_0.108_0.00031622776601683794_1.7070564633026816e-12
0.108,0.0003651741272548,2.3181076162215665e-07,DLS_0.108_0.0003651741272548377_1.2801117568342229e-12
0.108,0.0004216965034285,1.338614065401853e-07,DLS_0.108_0.00042169650342858224_9.599483937483806e-13
0.108,0.0004869675251658,7.764953054533802e-08,DLS_0.108_0.0004869675251658631_7.19859741729903e-13
0.108,0.0005623413251903,4.6838467808404545e-08,DLS_0.108_0.0005623413251903491_5.398186518548113e-13
0.108,0.0006493816315762,2.99016299374541e-08,DLS_0.108_0.0006493816315762113_4.0480688111557597e-13
0.108,0.0007498942093324,1.928511578430206e-08,DLS_0.108_0.0007498942093324559_3.035623360465023e-13
0.108,0.00086596432336,1.1468708965497742e-08,DLS_0.108_0.0008659643233600654_2.276396379727051e-13
0.108,0.0011547819846894,2.2132653946376904e-09,DLS_0.108_0.0011547819846894581_1.280111756834223e-13
0.108,0.0013335214321633,5.99164765776219e-10,DLS_0.108_0.001333521432163324_9.599483937483806e-14
0.108,0.0015399265260594,1.0080849036383734e-10,DLS_0.108_0.001539926526059492_7.198597417299029e-14
0.108,0.0017782794100389,8.971986047018718e-12,DLS_0.108_0.0017782794100389228_5.398186518548114e-14
0.108,0.001,5.735698939185398e-09,DLS_0.108_0.001_1.7070564633026822e-13
0.108,0.0020535250264571,3.421650438260606e-13,DLS_0.108_0.002053525026457146_4.04806881115576e-14
0.108,0.0023713737056616,4.264880461196593e-15,DLS_0.108_0.0023713737056616554_3.0356233604650233e-14
0.108,0.0027384196342643,1.2218010941787388e-17,DLS_0.108_0.0027384196342643613_2.276396379727051e-14
0.108,0.0031622776601683,5.037918562824717e-21,DLS_0.108_0.0031622776601683794_1.7070564633026816e-14
0.109,0.0001154781984689,1.0706503104569975e-06,DLS_0.109_0.00011547819846894582_6.32111607672675e-12
0.109,0.0001333521432163,7.566182039297173e-07,DLS_0.109_0.0001333521432163324_4.740168342455683e-12
0.109,0.0001539926526059,5.066092553518083e-07,DLS_0.109_0.0001539926526059492_3.5546247912685416e-12
0.109,0.0001778279410038,3.224854845092898e-07,DLS_0.109_0.00017782794100389227_2.6655925473218695e-12
0.109,0.0001,1.4352555327105786e-06,DLS_0.109_0.0001_8.429343763507269e-12
0.109,0.0002053525026457,1.9681332852008204e-07,DLS_0.109_0.0002053525026457146_1.9989124156764194e-12
0.109,0.0002371373705661,1.165524930110381e-07,DLS_0.109_0.00023713737056616554_1.498972845478498e-12
0.109,0.0002738419634264,6.770810922756813e-08,DLS_0.109_0.0002738419634264361_1.1240710567709197e-12
0.109,0.0003162277660168,3.905907774143207e-08,DLS_0.109_0.00031622776601683794_8.429343763507269e-13
0.109,0.0003651741272548,2.2986342743949912e-08,DLS_0.109_0.0003651741272548377_6.321116076726751e-13
0.109,0.0004216965034285,1.4270485849550571e-08,DLS_0.109_0.00042169650342858224_4.740168342455683e-13
0.109,0.0004869675251658,9.246775077359957e-09,DLS_0.109_0.0004869675251658631_3.5546247912685416e-13
0.109,0.0005623413251903,5.8042614712282264e-09,DLS_0.109_0.0005623413251903491_2.6655925473218684e-13
0.109,0.0006493816315762,3.2091665019425904e-09,DLS_0.109_0.0006493816315762113_1.9989124156764193e-13
0.109,0.0007498942093324,1.431294471956608e-09,DLS_0.109_0.0007498942093324559_1.498972845478498e-13
0.109,0.00086596432336,4.714335105686985e-10,DLS_0.109_0.0008659643233600654_1.1240710567709197e-13
0.109,0.0011547819846894,1.3053792017540836e-11,DLS_0.109_0.0011547819846894581_6.32111607672675e-14
0.109,0.0013335214321633,7.943571406749781e-13,DLS_0.109_0.001333521432163324_4.740168342455682e-14
0.109,0.0015399265260594,1.8325137335569133e-14,DLS_0.109_0.001539926526059492_3.554624791268542e-14
0.109,0.0017782794100389,1.1793708103373571e-16,DLS_0.109_0.0017782794100389228_2.6655925473218688e-14
0.109,0.001,1.0317116171274243e-10,DLS_0.109_0.001_8.429343763507269e-14
0.109,0.0020535250264571,1.415161492949051e-19,DLS_0.109_0.002053525026457146_1.9989124156764195e-14
0.109,0.0023713737056616,1.844064749978525e-23,DLS_0.109_0.0023713737056616554_1.4989728454784976e-14
0.109,0.0027384196342643,1.2542006720561618e-28,DLS_0.109_0.0027384196342643613_1.1240710567709198e-14
0.109,0.0031622776601683,1.6472708718105438e-35,DLS_0.109_0.0031622776601683794_8.429343763507268e-15
0.111,0.0001154781984689,8.018449238927164e-08,DLS_0.111_0.00011547819846894582_2.5456258855234277e-12
0.111,0.0001333521432163,4.8586596650239374e-08,DLS_0.111_0.0001333521432163324_1.908950110680824e-12
0.111,0.0001539926526059,2.8640595430378597e-08,DLS_0.111_0.0001539926526059492_1.4315106339041003e-12
0.111,0.0001778279410038,1.6596922231094286e-08,DLS_0.111_0.00017782794100389227_1.073481534962518e-12
0.111,0.0001,1.2718457839278886e-07,DLS_0.111_0.0001_3.3946466766152313e-12
0.111,0.0002053525026457,9.591527313765141e-09,DLS_0.111_0.0002053525026457146_8.049975868937084e-13
0.111,0.0002371373705661,5.701208362514683e-09,DLS_0.111_0.00023713737056616554_6.036630289381924e-13
0.111,0.0002738419634264,3.586760604514738e-09,DLS_0.111_0.0002738419634264361_4.5268340978884117e-13
0.111,0.0003162277660168,2.326601467940013e-09,DLS_0.111_0.00031622776601683794_3.3946466766152313e-13
0.111,0.0003651741272548,1.4312834577132815e-09,DLS_0.111_0.0003651741272548377_2.545625885523428e-13
0.111,0.0004216965034285,7.59920740982944e-10,DLS_0.111_0.00042169650342858224_1.908950110680824e-13
0.111,0.0004869675251658,3.193052560625942e-10,DLS_0.111_0.0004869675251658631_1.4315106339041003e-13
0.111,0.0005623413251903,9.697770493912752e-11,DLS_0.111_0.0005623413251903491_1.0734815349625179e-13
0.111,0.0006493816315762,1.903586390676269e-11,DLS_0.111_0.0006493816315762113_8.049975868937083e-14
0.111,0.0007498942093324,2.0821029625085237e-12,DLS_0.111_0.0007498942093324559_6.036630289381922e-14
0.111,0.00086596432336,1.0438877493943263e-13,DLS_0.111_0.0008659643233600654_4.5268340978884113e-14
0.111,0.0011547819846894,8.58083679218649e-18,DLS_0.111_0.0011547819846894581_2.5456258855234278e-14
0.111,0.0013335214321633,6.612955152047048e-21,DLS_0.111_0.001333521432163324_1.9089501106808235e-14
