mass,epsilon,llp_rate,LLPModel_unique_id
0.107,1.043199444046343e-05,5.2572574860055285e-08,DLS_0.107_1.043199444046343e-05_4.9528035054845855e-09
0.107,1.212476889317728e-05,8.647914687865383e-08,DLS_0.107_1.212476889317728e-05_3.6663916359380192e-09
0.107,1.4092225753374626e-05,1.396630392502654e-07,DLS_0.107_1.4092225753374626e-05_2.7141047718106474e-09
0.107,1.6378937069540613e-05,2.210547704333185e-07,DLS_0.107_1.6378937069540613e-05_2.0091592617002997e-09
0.107,1.9952623149688787e-06,1.0506206897344016e-10,DLS_0.107_1.9952623149688787e-06_1.35389751857946e-07
0.107,2.3190286946883035e-06,1.9031646266595084e-10,DLS_0.107_2.3190286946883035e-06_1.0022441900915468e-07
0.107,2.6953318600976127e-06,3.4391070788824136e-10,DLS_0.107_2.6953318600976127e-06_7.419272158990273e-08
0.107,3.13269682807168e-06,6.194798659368447e-10,DLS_0.107_3.1326968280716798e-06_5.492234319077494e-08
0.107,3.641031949310677e-06,1.111250718488239e-09,DLS_0.107_3.641031949310677e-06_4.0657138826078274e-08
0.107,4.231853378566934e-06,1.982902654901704e-09,DLS_0.107_4.231853378566934e-06_3.00970942150309e-08
0.107,4.9185459691115625e-06,3.514837804902534e-09,DLS_0.107_4.9185459691115625e-06_2.2279853092058192e-08
0.107,5.716666501913616e-06,6.179491267138348e-09,DLS_0.107_5.716666501913616e-06_1.6493015912339878e-08
0.107,6.6442961190834e-06,1.075757121841377e-08,DLS_0.107_6.6442961190834e-06_1.22092175725189e-08
0.107,7.722449945836254e-06,1.851116756370204e-08,DLS_0.107_7.722449945836254e-06_9.038067659995141e-09
0.107,8.975553180819605e-06,3.143110367571459e-08,DLS_0.107_8.975553180819605e-06_6.690573457427306e-09
0.108,1.043199444046343e-05,6.899671019909447e-08,DLS_0.108_1.043199444046343e-05_1.5686035457562992e-09
0.108,1.212476889317728e-05,1.0483117615196901e-07,DLS_0.108_1.212476889317728e-05_1.1611837444984452e-09
0.108,1.4092225753374626e-05,1.5527100136091398e-07,DLS_0.108_1.4092225753374626e-05_8.59584751121624e-10
0.108,1.6378937069540613e-05,2.23805190263466e-07,DLS_0.108_1.6378937069540613e-05_6.36321295283013e-10
0.108,1.9952623149688787e-06,2.168848998353148e-10,DLS_0.108_1.9952623149688787e-06_4.287931967990742e-08
0.108,2.3190286946883035e-06,3.8745931692529805e-10,DLS_0.108_2.3190286946883035e-06_3.17420989657742e-08
0.108,2.6953318600976127e-06,6.878089546698496e-10,DLS_0.108_2.6953318600976127e-06_2.349759404473786e-08
0.108,3.13269682807168e-06,1.2114390602161175e-09,DLS_0.108_3.1326968280716798e-06_1.7394468037121295e-08
0.108,3.641031949310677e-06,2.11354389941058e-09,DLS_0.108_3.641031949310677e-06_1.2876531857617618e-08
0.108,4.231853378566934e-06,3.646259302023803e-09,DLS_0.108_4.231853378566934e-06_9.532057682155065e-09
0.108,4.9185459691115625e-06,6.2095239497829655e-09,DLS_0.108_4.9185459691115625e-06_7.056257434891429e-09
0.108,5.716666501913616e-06,1.0420925100803173e-08,DLS_0.108_5.716666501913616e-06_5.223506890928064e-09
0.108,6.6442961190834e-06,1.7205379992378533e-08,DLS_0.108_6.6442961190834e-06_3.8667841261934895e-09
0.108,7.722449945836254e-06,2.7899275143477755e-08,DLS_0.108_7.722449945836254e-06_2.862448502662053e-09
0.108,8.975553180819605e-06,4.435254080431191e-08,DLS_0.108_8.975553180819605e-06_2.1189730698667466e-09
0.109,1.043199444046343e-05,6.692821940659469e-08,DLS_0.109_1.043199444046343e-05_7.745671452633009e-10
0.109,1.212476889317728e-05,9.55483676400014e-08,DLS_0.109_1.212476889317728e-05_5.733856591970533e-10
0.109,1.4092225753374626e-05,1.3246145973611558e-07,DLS_0.109_1.4092225753374626e-05_4.244578616371315e-10
0.109,1.6378937069540613e-05,1.7807290643637738e-07,DLS_0.109_1.6378937069540613e-05_3.142116887922571e-10
0.109,1.9952623149688787e-06,3.1614575283500323e-10,DLS_0.109_1.9952623149688787e-06_2.1173554226083825e-08
0.109,2.3190286946883035e-06,5.551722238659966e-10,DLS_0.109_2.3190286946883035e-06_1.5674060566228427e-08
0.109,2.6953318600976127e-06,9.651700134356847e-10,DLS_0.109_2.6953318600976127e-06_1.160297284105221e-08
0.109,3.13269682807168e-06,1.6583076674394004e-09,DLS_0.109_3.1326968280716798e-06_8.589285347044594e-09
0.109,3.641031949310677e-06,2.8110263647493992e-09,DLS_0.109_3.641031949310677e-06_6.358355206342472e-09
0.109,4.231853378566934e-06,4.69320704267271e-09,DLS_0.109_4.231853378566934e-06_4.706873656716209e-09
0.109,4.9185459691115625e-06,7.704537352680048e-09,DLS_0.109_4.9185459691115625e-06_3.4843381505628267e-09
0.109,5.716666501913616e-06,1.241478556382038e-08,DLS_0.109_5.716666501913616e-06_2.5793367812505995e-09
0.109,6.6442961190834e-06,1.9599805384936112e-08,DLS_0.109_6.6442961190834e-06_1.9093951113893884e-09
0.109,7.722449945836254e-06,3.02589328886243e-08,DLS_0.109_7.722449945836254e-06_1.413460125835147e-09
0.109,8.975553180819605e-06,4.5593967809432576e-08,DLS_0.109_8.975553180819605e-06_1.0463363582575325e-09
0.111,1.043199444046343e-05,4.93996451239239e-08,DLS_0.111_1.043199444046343e-05_3.119319675710298e-10
0.111,1.212476889317728e-05,6.423179137640022e-08,DLS_0.111_1.212476889317728e-05_2.3091260447091295e-10
