mass,epsilon,llp_rate,LLPModel_unique_id
0.107,0.0001,2.5003590956765894e-06,DLS_0.107_0.0001_5.3899631034106934e-11
0.107,1.1787686347935866e-06,6.2950350303805766e-12,DLS_0.107_1.1787686347935866e-06_3.879079223529507e-07
0.107,1.3894954943731388e-05,6.116486147051475e-08,DLS_0.107_1.3894954943731388e-05_2.7917177416106123e-09
0.107,1.6378937069540646e-07,2.3659882246106146e-15,DLS_0.107_1.6378937069540646e-07_2.009159261700292e-05
0.107,1.9306977288832498e-06,4.4677635530286e-11,DLS_0.107_1.9306977288832498e-06_1.4459631354232735e-07
0.107,1e-07,3.287867303018153e-16,DLS_0.107_1e-07_5.389963103410693e-05
0.107,2.275845926074791e-05,2.4786725622748055e-07,DLS_0.107_2.275845926074791e-05_1.040638952251952e-09
0.107,2.6826957952797275e-07,1.702299337561024e-14,DLS_0.107_2.6826957952797275e-07_7.489329447026603e-06
0.107,3.162277660168379e-06,3.101698862574144e-10,DLS_0.107_3.162277660168379e-06_5.389963103410693e-08
0.107,3.727593720314938e-05,7.649025801147138e-07,DLS_0.107_3.727593720314938e-05_3.879079223529507e-10
0.107,4.393970560760786e-07,1.224217077739369e-13,DLS_0.107_4.393970560760786e-07_2.7917177416106233e-06
0.107,5.179474679231212e-06,2.0442547519636504e-09,DLS_0.107_5.179474679231212e-06_2.0091592617002917e-08
0.107,6.105402296585326e-05,1.6926408589035191e-06,DLS_0.107_6.105402296585326e-05_1.445963135423274e-10
0.107,7.196856730011529e-07,8.793132768941736e-13,DLS_0.107_7.196856730011529e-07_1.0406389522519513e-06
0.107,8.483428982440726e-06,1.2141111468073752e-08,DLS_0.107_8.483428982440726e-06_7.489329447026602e-09
0.108,0.0001,4.5360886445078723e-07,DLS_0.108_0.0001_1.7070564633026816e-11
0.108,1.1787686347935866e-06,1.3312369138311366e-11,DLS_0.108_1.1787686347935866e-06_1.2285440796429583e-07
0.108,1.3894954943731388e-05,6.625864269611552e-08,DLS_0.108_1.3894954943731388e-05_8.84165572769421e-10
0.108,1.6378937069540646e-07,5.090889839755823e-15,DLS_0.108_1.6378937069540646e-07_6.363212952830106e-06
0.108,1.9306977288832498e-06,9.189401561877171e-11,DLS_0.108_1.9306977288832498e-06_4.5795131964071857e-08
0.108,1e-07,7.076048002884844e-16,DLS_0.108_1e-07_1.707056463302682e-05
